text,aspect_start,aspect_end,opinion_start,opinion_end,sentiment,category
xem ?o?n cu?i khóc tùm lum luôn h?c ? hà n?i nh? nhà gê qua phía bên trong,,,0,13,positive,SPECIALIZE
ki?u ki?u dàn ekip c?t l?c quá,2,3,4,6,positive,technical
nói d? m?t ch??ng trình h?i t? nhi?u ?i?u thú v? và ý ngh?a,2,4,7,13,positive,SPECIALIZE
huy ?n gian ch?i vui nh?ng mà không công ngang cho ??i kia tí nào còn có,0,0,1,14,positive,APPEARANCE
ch??ng trình ?úng là càng ngày càng hay,0,1,2,7,positive,SPECIALIZE
liu grace slay n?u không,0,1,2,2,positive,APPEARANCE
n?m nay ai c?ng là quán quân . t?t c? làm nên gameshow quá h?p d?n qua là,,,0,15,positive,SPECIALIZE
?? ngh? công chi?u lúc 20h ? ch? 20h40 mu?n quá,,,0,10,negative,technical
vi?t nam h?t ng??i rap sao m?i th?ng cam nên rap ?éo hi?u gì d??i phía là,,,0,13,negative,SPECIALIZE
phúc du hát không nghe ?c gì ta xu?ng,0,1,2,7,negative,SPECIALIZE
t?p này rung ??ng thi?t s? trái l?i,0,1,2,5,positive,SPECIALIZE
tôi hy v?ng mùa sau l?i th?y anh thái n?a . và,7,8,0,9,neutral,SPECIALIZE
tr??ng giang h?n thua mà còn ?n thua nh?ng thanh viên l?n ti?ng v?i thanh viên,0,1,6,15,negative,APPEARANCE
tr??ng giang h?n thua mà còn ?n thua nh?ng thanh viên l?n ti?ng v?i thanh viên,0,1,2,3,negative,APPEARANCE
mê pháp ki?u,1,2,0,0,positive,other
moshi moshi ch? ngân c? ? ??i nào c?ng mong ??i ngân th?ng ch? b? ph?t th?y t?i quá à,2,3,,,positive,other
t?p này ?ông vui r?t t?i bé y?n không tham gia m?y gameshow nên gi?ng nh? h?i kh?p tuy nhiên,7,7,5,17,positive,APPEARANCE
t?p này ?ông vui r?t t?i bé y?n không tham gia m?y gameshow nên gi?ng nh? h?i kh?p tuy nhiên,0,1,2,4,positive,APPEARANCE
tr?n thành là cái gì ?ó khó thay th? trong rap vi?t,0,1,2,11,positive,other
rhyder rap hay quá hay h?n c? hlv,0,0,2,7,positive,SPECIALIZE
má ?i quang hùng v?a ??p trai mà còn hát hay,2,3,9,10,positive,SPECIALIZE
má ?i quang hùng v?a ??p trai mà còn hát hay,2,3,5,6,positive,APPEARANCE
nh? là cái ông lâm thi?t ch? c??i x?u,3,4,5,8,positive,other
bài h?i không nón hay quá . shout out,0,3,4,8,positive,SPECIALIZE
b?t nh?ng trò va cham l?i làm h? tr? em bên trái là,,,0,9,negative,APPEARANCE
d2t quá gi?i ý và sau cùng,0,0,1,2,positive,OTHER
có thúy ngân là khoái li?n ai chê bã ch? có bã vui l?m theo,1,2,4,5,positive,APPEARANCE
ít nghe nh?c suboi nh?ng b?n ?y hát lên ?úng là ??ng c?p th? nh?ng,3,3,0,12,positive,SPECIALIZE
mik thì thik ph?n ráp c?a thái vg nghe nó cu?n th?c s?,3,7,8,12,positive,SPECIALIZE
negav ?áng yêu quá,0,0,1,2,positive,APPEARANCE
lúc qu?nh anh v? cris gi?i thi?u m?t ?ng ki?u 3 ph?n b?t l?c 7 ph?n nuông chi?u ?i theo phía ngoài,,,0,17,positive,APPEARANCE
cho e h?i ??n khi nào m?i ra mùa 3 á ch? em hóng l?m r?i theo ph??ng th?c,8,9,13,15,positive,OTHER
nam nay thí sinh quá m?nh luôn,,,0,6,positive,SPECIALIZE
chúc ch??ng trình ekip và dàn cast n?m m?i nhi?u ni?m vui thành công h?n n?a s?m ra mùa 3,,,0,19,positive,APPEARANCE
thai vg rap hay thi?t . dù không hi?u k?p nh?ng nghe ?úng ?ã tai,0,2,3,3,positive,SPECIALIZE
thai vg rap hay thi?t . dù không hi?u k?p nh?ng nghe ?úng ?ã tai,0,2,7,8,negative,SPECIALIZE
thai vg rap hay thi?t . dù không hi?u k?p nh?ng nghe ?úng ?ã tai,0,2,11,14,positive,SPECIALIZE
thai vg rap hay thi?t . dù không hi?u k?p nh?ng nghe ?úng ?ã tai,0,1,2,14,positive,SPECIALIZE
gi? t? nhiên t c?m th?y rhyder quán quân còn x?ng ?áng h?n 2t luôn á,6,6,7,15,positive,SPECIALIZE
gi? t? nhiên t c?m th?y rhyder quán quân còn x?ng ?áng h?n 2t luôn á,13,13,,,negative,SPECIALIZE
justate và double2 r?t là hay x?ng ?áng quán quân lên phía bên ngoài là,0,2,5,10,positive,SPECIALIZE
justate và double2 r?t là hay x?ng ?áng quán quân lên phía bên ngoài là,0,2,3,9,positive,SPECIALIZE
mùa 3 này xem th?y h? nh? 1 gia ?ình th?t th? ?y th?y c?ng gì ?âu tin cho,0,2,3,16,positive,OTHER
yay ch? thúy ngân tr? l?i ch??ng trình vui h?n và nhi?u ti?ng c??i h?n 7 n? là ph?i nh? v?y ch? c?ng nh? v?y,1,3,4,14,positive,APPEARANCE
24k m?i x?ng ?áng vãi ca quán quân,0,0,1,3,negative,SPECIALIZE
"tuyên quang mãi ??nh , chúc m?ng e",0,1,5,6,positive,OTHER
mc tr?n thành ?a tài d?n ch??ng trình ráp vi?t hay quá,0,2,5,10,positive,SPECIALIZE
mc tr?n thành ?a tài d?n ch??ng trình ráp vi?t hay quá,0,2,3,4,positive,SPECIALIZE
"r?i r?i thái vg thái vg b?n ti?ng vi?t , ai b?o ông không bi?t ti?ng vi?t n?a",2,5,6,11,positive,APPEARANCE
t?p này khách m?i c?ng m?n th?y s? c??i mu?n ?au b?ng,2,3,5,11,positive,CHARACTERISTIC
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3 và cu?i cùng,7,7,9,10,positive,SPECIALIZE
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3 và cu?i cùng,12,12,13,15,negative,SPECIALIZE
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3 và cu?i cùng,7,7,0,10,positive,SPECIALIZE
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3 và cu?i cùng,12,12,0,15,positive,SPECIALIZE
ver c?a anh thái rap xong ?á bay ch??ng trình ra chu?ng gà luôn,0,3,4,13,positive,SPECIALIZE
hoa n?ng bài nh?c c? tu?i th? c?a mình anh v?n t??i và hát hay nh? ngày nào mong anh tr? l?i vs khán gi? ? lên phía bên trong là,,,0,8,positive,SPECIALIZE
hoa n?ng bài nh?c c? tu?i th? c?a mình anh v?n t??i và hát hay nh? ngày nào mong anh tr? l?i vs khán gi? ? lên phía bên trong là,9,9,10,11,positive,APPEARANCE
hoa n?ng bài nh?c c? tu?i th? c?a mình anh v?n t??i và hát hay nh? ngày nào mong anh tr? l?i vs khán gi? ? lên phía bên trong là,9,9,13,17,positive,SPECIALIZE
hoa n?ng bài nh?c c? tu?i th? c?a mình anh v?n t??i và hát hay nh? ngày nào mong anh tr? l?i vs khán gi? ? lên phía bên trong là,9,9,18,25,positive,APPEARANCE
n?m nay r?t hay các bài hát ??u ch?t l??ng và hay,4,6,7,11,positive,SPECIALIZE
chúc m?ng double2t ah anh quá x?ng ?áng ?,2,2,0,8,positive,SPECIALIZE
tính ra th? là h?t mùa 2 r?i hi v?ng s? s?m có mùa 3 và gi? nguyên ???c giàn cast,,,2,14,positive,OTHER
tính ra th? là h?t mùa 2 r?i hi v?ng s? s?m có mùa 3 và gi? nguyên ???c giàn cast,,,16,20,positive,APPEARANCE
hình nh? sao th?i gian lên video tr? v?y,,,2,8,negative,TECHNICAL
k quán quân thì db2t v?n thành công nh?t thôi,4,4,6,7,positive,SPECIALIZE
"??ng ý d2t hay có , b?t phá có nh?ng ?? quán quân thì không",2,2,3,7,positive,SPECIALIZE
"??ng ý d2t hay có , b?t phá có nh?ng ?? quán quân thì không",2,2,0,14,negative,SPECIALIZE
bray mãi ??nh phía trái,0,0,1,2,positive,OTHER
"nghe chú thái vg rap cái t n?i da gà , ??ng c?p zl",1,3,4,13,positive,SPECIALIZE
tuy?t v?i chúc m?ng d2t ng??i mi?n núi ch?t,4,4,2,3,positive,OTHER
hi?u th? hai t?p này ??p trai vãi l?i còn hài h??c n?a,0,2,5,7,positive,APPEARANCE
hi?u th? hai t?p này ??p trai vãi l?i còn hài h??c n?a,0,2,10,11,positive,CHARACTERISTIC
ch?c có mình tui th?y double t2 rap nh? c m?c dù,5,6,7,9,negative,SPECIALIZE
ch??ng trình v?y là hay l?m r?i nghe có mùa sau vui quá,0,1,2,12,positive,SPECIALIZE
bàn tay g?u c?a ?ng c?ng ghê c?ng nh?,0,4,5,6,positive,APPEARANCE
bài c?a andre h?ng bét . có nhiu ?ó rap di rao l?i quài ch? có gì ??c s?c,0,2,3,18,negative,SPECIALIZE
trao gi?i mà mic rè vãi c?c d?n ??n,,,3,6,negative,TECHNICAL
b? n?i da gà khi anh thái hát câu vi?t nam muôn ??i h?n n?a,5,6,0,12,positive,SPECIALIZE
"ôi m? ?i team bray , team c?a ý t??ng và ngôn t? , quá ch?t",3,4,6,15,positive,SPECIALIZE
chung k?t cháy quá m?i ng??i ?i,0,1,2,3,positive,SPECIALIZE
ng?c ch?i d? quá không tâm lý gì h?t b? c? gi?n hoài,0,0,1,6,positive,APPEARANCE
24k x?ng ?áng làm quán quân h?n i huhuhu nma thui c?ng chúc m?ng cho double2t,0,0,1,4,positive,SPECIALIZE
24k x?ng ?áng làm quán quân h?n i huhuhu nma thui c?ng chúc m?ng cho double2t,15,15,12,13,positive,OTHER
mike vô ??ch trong lòng t . nay 2t ?óng tune l? ch?t v?y,0,0,1,5,positive,SPECIALIZE
mike vô ??ch trong lòng t . nay 2t ?óng tune l? ch?t v?y,8,8,9,13,neutral,SPECIALIZE
h?i th?t v?ng ?i?p khúc c?a hipohapy khi không r?t ?? cao trào tr??c câu k?t ?o?n m? ??c bi?t nh?t,3,6,0,2,negative,OTHER
h?i th?t v?ng ?i?p khúc c?a hipohapy khi không r?t ?? cao trào tr??c câu k?t ?o?n m? ??c bi?t nh?t,3,6,8,12,negative,SPECIALIZE
t?p này m?y trò ch?i quá hay luôn m?i m? thú v? nay ?ông ?? r?n ràng hài c??i ra n??c m?t luôn á chèn ?i,0,1,2,11,positive,SPECIALIZE
t?p này m?y trò ch?i quá hay luôn m?i m? thú v? nay ?ông ?? r?n ràng hài c??i ra n??c m?t luôn á chèn ?i,0,1,12,25,positive,APPEARANCE
vanda idol mãi ??nh lòng tui b?t,0,0,2,5,positive,OTHER
ch?c ch?n anh b?p d? th??ng quá hài r?t duyên,2,3,4,5,positive,APPEARANCE
ch?c ch?n anh b?p d? th??ng quá hài r?t duyên,2,3,6,9,positive,CHARACTERISTIC
bài c?a big hay vch dính h?n keo chó r g?p,0,2,3,4,positive,OTHER
a thái vg rap hay quá team anh thái mãi ??nh,0,2,3,5,positive,SPECIALIZE
a thái vg rap hay quá team anh thái mãi ??nh,6,8,9,10,positive,OTHER
respect thai vg,1,2,0,0,positive,OTHER
trong các t?p c?a rv thì t?p cu?i là t?p nh?t nh?t trên phía là,6,7,8,11,negative,SPECIALIZE
ch??ng trình nh? cái ?ách i?n . pháp ki?u ??nh v?y mà thua . éo thèm coi n?a,0,1,2,5,negative,SPECIALIZE
ch??ng trình nh? cái ?ách i?n . pháp ki?u ??nh v?y mà thua . éo thèm coi n?a,7,8,9,9,positive,SPECIALIZE
ch??ng trình nh? cái ?ách i?n . pháp ki?u ??nh v?y mà thua . éo thèm coi n?a,7,8,12,12,negative,SPECIALIZE
em iu bigdady tuy,2,2,0,1,positive,OTHER
ki?u ki?u tr??ng giang ngu mà hay th? hi?n,2,3,4,4,negative,SPECIALIZE
ki?u ki?u tr??ng giang ngu mà hay th? hi?n,2,3,6,8,negative,APPEARANCE
team bray hch 24k right quá ??ng c?p,0,4,5,6,positive,SPECIALIZE
nay chú 6 nhìn l?ng trai ghê tuy nhiên v?y,1,2,3,6,positive,APPEARANCE
xin info ch? dance y?m tím ?i mn,2,5,,,neutral,OTHER
team bray nghe chi?n th?t s? d??i phía là,0,1,2,5,positive,SPECIALIZE
ai quán quân c?ng ???c mi?n không ph?i là rhyder,9,9,,,negative,SPECIALIZE
eh eh làm cái gì mà nhi?u qu?ng cáo quá v?y,,,6,8,negative,TECHNICAL
bài 2t vs justate hay quá k?t qu? quán quân x?ng ?áng chúc m?ng,0,3,4,4,positive,SPECIALIZE
mùa 3 tuy?t nh?t trong 3 mùa . ?a d?ng màu s?c và nhi?u c?m xúc .,0,1,8,15,positive,SPECIALIZE
mùa 3 tuy?t nh?t trong 3 mùa . ?a d?ng màu s?c và nhi?u c?m xúc .,0,1,2,6,positive,SPECIALIZE
"quang anh hay th? mà ít ng khen nh? , quán quân n?m nay th?t x?ng ?áng tin t?c ??n",10,13,14,16,positive,SPECIALIZE
"quang anh hay th? mà ít ng khen nh? , quán quân n?m nay th?t x?ng ?áng tin t?c ??n",0,1,2,8,positive,OTHER
lúc di chuy?n ra ngoài ?èn b? chói r?t n?i b? là,,,,,neutral,OTHER
ba tóc tiên càng ngày càng t? vay makeup thi s?n bên trong là,0,2,3,10,negative,APPEARANCE
dt2 x?ng ?áng mà . mà ai top 9 c?ng x?ng ?áng quá luôn d? nhiên,,,6,13,positive,SPECIALIZE
dt2 x?ng ?áng mà . mà ai top 9 c?ng x?ng ?áng quá luôn d? nhiên,0,0,1,3,positive,SPECIALIZE
eh eh mong ch? mùa 3 mong ch? g?p l?i nguyên dàn cast,,,2,12,positive,OTHER
em chó c?a cris d? th??ng vãi trên phía ngoài,0,3,4,6,positive,APPEARANCE
a thái vg nghe vanda hát ki?u ki?u gì khó nghe quá kích ho?t,4,4,0,11,negative,SPECIALIZE
a thái vg nghe vanda hát ki?u ki?u gì khó nghe quá kích ho?t,0,2,3,11,negative,SPECIALIZE
a hoàng h?i v?n bùng n? trên sân kh?u nh? ngày nào hay quá,1,2,3,13,positive,APPEARANCE
mua 3 ??ng m?i ki?u minh tu?n,,,0,6,negative,SPECIALIZE
hình nh? hi v?ng mùa 3 t?i s?m ? ch? ?i làm v? c? tu?n không có gì coi gi?i trí h?t hóng m?i 2 ngày 1 ?êm thoi,,,,,neutral,OTHER
"anh thái hay z?y , l?n ??u mình nghe",0,1,2,3,positive,OTHER
"gi?ng anh bâu c? có gì ?ó ??c bi?t nh? , nghe l? l? l?m c?ng",0,2,3,14,positive,SPECIALIZE
v?n thích ti?t m?c c?a karik nh?t,2,5,1,1,positive,SPECIALIZE
mikelodic hay,0,0,1,1,positive,OTHER
r?t thích vanda trên phía bên trong,2,2,0,1,positive,OTHER
t?p này ?n t??ng c?a big v?i tez r?i sau ?ó,5,7,0,7,positive,SPECIALIZE
mua m? gi?i r?i,,,0,3,negative,SPECIALIZE
karik xinh trai duyên dáng,0,0,1,2,positive,APPEARANCE
karik xinh trai duyên dáng,0,0,3,4,positive,CHARACTERISTIC
quán quân xàm còn có,0,1,2,2,negative,OTHER
h?t nhanh v?y mu?n xem thêm n?a,,,,,neutral,OTHER
mía ông thái rap không hi?u mà b?t tai th?t,1,1,2,7,positive,SPECIALIZE
"ng??i mi?n núi ch?t ??ng quang , c? 1 lòng t? hào cho ae b?n tr? mi?n núi phía ngoài là",0,3,4,17,positive,OTHER
tui ngh? 24 s? là quán quân,2,2,0,6,positive,SPECIALIZE
"t mê anh thái quá , anh th? thôi c?ng hay n?a tr?i ?i",2,3,0,13,positive,OTHER
nói riêng ido anh hoàng h?i v?n hát hay ??p trai,3,5,9,10,positive,APPEARANCE
nói riêng ido anh hoàng h?i v?n hát hay ??p trai,3,5,7,8,positive,SPECIALIZE
t?p này hay nhen lúc th?y ng??i thân dàn cast v? òa th?t s? ,0,1,4,13,positive,APPEARANCE
t?p này hay nhen lúc th?y ng??i thân dàn cast v? òa th?t s? ,0,1,2,3,positive,SPECIALIZE
16 phút mà ???c 6 cái qu?ng cáo r?i ?ó ? ,,,,,neutral,OTHER
7 bài chung k?t nghe phê không th? t? . chúc m?ng 2t theo ph??ng th?c,12,12,10,11,positive,OTHER
7 bài chung k?t nghe phê không th? t? . chúc m?ng 2t theo ph??ng th?c,0,3,4,8,positive,SPECIALIZE
t coi t?p nào t c?ng c??i ?iên m?y ?ng b? có duyên r?t tr?i mong ch??ng trình này ra quài phía d??i là,8,10,11,14,positive,CHARACTERISTIC
t coi t?p nào t c?ng c??i ?iên m?y ?ng b? có duyên r?t tr?i mong ch??ng trình này ra quài phía d??i là,16,17,15,20,positive,OTHER
t coi t?p nào t c?ng c??i ?iên m?y ?ng b? có duyên r?t tr?i mong ch??ng trình này ra quài phía d??i là,2,3,6,7,positive,SPECIALIZE
m?i là ti?t t?c ??nh nh?t ?êm nay nói v?,,,2,5,positive,SPECIALIZE
masew làm con beat khét th?t s? tuy,0,3,4,6,positive,SPECIALIZE
"cái gi?ng l? l? mà n? l?c hát ph?i tròn âm ti?ng vi?t , th??ng thái vg quá tuy",15,16,1,3,negative,SPECIALIZE
"cái gi?ng l? l? mà n? l?c hát ph?i tròn âm ti?ng vi?t , th??ng thái vg quá tuy",15,16,5,10,positive,SPECIALIZE
"cái gi?ng l? l? mà n? l?c hát ph?i tròn âm ti?ng vi?t , th??ng thái vg quá tuy",15,16,14,14,positive,OTHER
tui nghe ?i nghe l?i ?o?n ông thái rap á ch?i c?ng x?u truy?n thông cho,5,7,0,12,positive,SPECIALIZE
ch? ngân và ch? ng?c d? th??ng nhí nh?m mong ch??ng trình s? m?i hai ch? vào mùa sau lên phía ngoài,0,4,5,8,positive,APPEARANCE
ch? ngân và ch? ng?c d? th??ng nhí nh?m mong ch??ng trình s? m?i hai ch? vào mùa sau lên phía ngoài,0,4,5,8,positive,CHARACTERISTIC
ch? ngân và ch? ng?c d? th??ng nhí nh?m mong ch??ng trình s? m?i hai ch? vào mùa sau lên phía ngoài,0,4,9,18,positive,APPEARANCE
mình ngh? ?ã 1 tháng k? t? khi xem t?p cu?i t th?y cu?c s?ng t nh?t nh?o quá bây ?i,,,,,neutral,OTHER
hok c?a chú thái dính c?ng ng?c lun,0,3,4,7,positive,SPECIALIZE
suboi t?p cu?i trang ?i?m nhìn r?c quy?n r? quá,0,0,3,8,positive,APPEARANCE
giang c?ng d? ghia còn ng?c v?i ngân 10? h?ng có nh?ng quay l?i,5,7,8,11,positive,OTHER
giang c?ng d? ghia còn ng?c v?i ngân 10? h?ng có nh?ng quay l?i,0,0,1,3,positive,APPEARANCE
má nghe team b ray cái n?i da gà thi?t á,2,4,0,10,positive,SPECIALIZE
ai là quán quân c?ng ??u x?ng ?áng c? r?i ra phía,2,3,6,7,positive,OTHER
bài c?a karik gi?ng mùa 1 th? nh? ho?c,0,2,3,5,neutral,OTHER
hu?nh công hi?u . quán quân trong lòng tôi,0,2,4,8,positive,OTHER
cypher hay x?u và sau ?ây,0,0,1,2,positive,OTHER
ph?n cu?i c?a right khi?n mình ph?i suy ngh? r?t nhi?u,0,3,4,10,positive,OTHER
thanh âm nghe b? rè rè r?t ??i v?i,0,1,2,6,negative,TECHNICAL
?? phân gi?i trông có chán c? ch? truy?n thông ??n cho,0,2,3,7,negative,TECHNICAL
thích ch??ng trình này mong mùa 3 gi? nguyên dàn cast này nhé ch??ng trình,9,10,7,8,positive,SPECIALIZE
thích ch??ng trình này mong mùa 3 gi? nguyên dàn cast này nhé ch??ng trình,1,2,0,0,positive,OTHER
không u?ng công ngày nào mình c?ng vote . 2t quá x?ng ?áng nh?ng mà,9,9,0,7,positive,SPECIALIZE
không u?ng công ngày nào mình c?ng vote . 2t quá x?ng ?áng nh?ng mà,9,9,10,12,positive,SPECIALIZE
không u?ng công ngày nào mình c?ng vote . 2t quá x?ng ?áng nh?ng mà,9,9,11,11,positive,SPECIALIZE
ai d?n má tui lên d?y d? th??ng liên quan ??n,,,,,neutral,OTHER
ui ui nghe tâm s? gi?ng hát c?a hoàng h?i mình th?t s? r?t xúc ??ng,5,10,13,15,positive,APPEARANCE
nhã ph??ng xóa b?ng m?t ? ?âu thành công r?t mua tr??c b?ng m?t nh?n nheo h?t luôn ngoài ra còn,0,1,2,17,positive,APPEARANCE
rap vi?t m?t ch?t,0,1,2,3,negative,SPECIALIZE
mau h?t ghê không b? xót t?p nào m?i ng??i ai c?ng vui hài d? th??ng h?t mình ??i mùa 8 quá ,,,,,neutral,OTHER
t?p này ??i ngô ki?n huy ?n gian th?y bà ?àn anh nh? con t?c,2,5,6,15,negative,APPEARANCE
thích tr?n thành . thích t?t c? hlv b?t,7,7,4,4,positive,OTHER
thích tr?n thành . thích t?t c? hlv b?t,1,2,0,0,positive,OTHER
m?y bài ?êm chung k?t n?m nay hay nh?t trong 3 n?m,0,6,7,11,positive,SPECIALIZE
double 2t hát hay tính cách hi?n lành quán quân x?ng ?áng phía d??i,0,1,4,7,positive,CHARACTERISTIC
double 2t hát hay tính cách hi?n lành quán quân x?ng ?áng phía d??i,0,1,8,11,positive,SPECIALIZE
double 2t hát hay tính cách hi?n lành quán quân x?ng ?áng phía d??i,0,1,2,3,positive,SPECIALIZE
b?a c?m ?oàn viên xem mà th?y nh? nhà quá,,,0,9,positive,OTHER
"chúc m?ng 2t , m?i s? n? l?c c?a anh bây gi? ?ã ???c ??n ?áp",2,2,0,15,positive,OTHER
th? thôi có m?y lúc âm thanh ch?y tr??c hình ?nh v?y,9,10,5,10,negative,TECHNICAL
th? thôi có m?y lúc âm thanh ch?y tr??c hình ?nh v?y,5,6,5,10,negative,TECHNICAL
tr?i ?i xem hay mà sao kì này qu?ng cáo hoài v?y t?c r?t tr?i bên trong là,0,0,5,14,negative,TECHNICAL
tr?i ?i xem hay mà sao kì này qu?ng cáo hoài v?y t?c r?t tr?i bên trong là,,,2,3,positive,OTHER
t?p này c??i ?au b?ng vui quá tr?i quá ??t tuy?t v?i,0,1,2,11,positive,SPECIALIZE
2t tuy?t v?i,0,0,1,2,positive,APPEARANCE
"thái vg rap mà n?i h?t da gà , quá hay",0,2,9,10,positive,SPECIALIZE
"thái vg rap mà n?i h?t da gà , quá hay",0,2,4,7,positive,SPECIALIZE
?êm chung kêt mà suboi ?n m?c nh? d? ng??i . gu th?m m? kém,4,4,0,14,negative,APPEARANCE
2t mà vô ??ch ? ch??ng trình làm k?ch b?n v?a thôi phía trong là,5,6,7,11,negative,SPECIALIZE
2t mà vô ??ch ? ch??ng trình làm k?ch b?n v?a thôi phía trong là,0,0,1,3,negative,SPECIALIZE
mùa này hlv ch?m thay qu?n áo nh?,2,2,3,6,negative,APPEARANCE
"quá x?ng ?áng chân thành , nhi?t huy?t , t?n tâm yêu big chúc m?ng em 2t phát hi?n",12,12,3,10,positive,CHARACTERISTIC
"quá x?ng ?áng chân thành , nhi?t huy?t , t?n tâm yêu big chúc m?ng em 2t phát hi?n",12,12,11,11,positive,OTHER
"quá x?ng ?áng chân thành , nhi?t huy?t , t?n tâm yêu big chúc m?ng em 2t phát hi?n",16,16,13,15,positive,OTHER
"quá x?ng ?áng chân thành , nhi?t huy?t , t?n tâm yêu big chúc m?ng em 2t phát hi?n",,,0,1,positive,OTHER
"team bray chi?n th?t , hch ?úng ch?t",5,5,7,7,positive,OTHER
"team bray chi?n th?t , hch ?úng ch?t",0,1,2,3,positive,OTHER
quán quân mà r?t ngay vòng ??u c?a moi rap,0,1,3,3,negative,SPECIALIZE
 nói d? ch? bé hài nh?t tr? l?i r?i m?ng quá tr?i quá ??t hóng ch? mùa sau l?m nè,2,5,,,positive,APPEARANCE
nh ma xem ?o?n cu?i khóc tùm lum luôn h?c ? hà n?i nh? nhà gê ,,,2,15,positive,SPECIALIZE
verse anh thái cu?n ghê . ng?u bá cháy,0,2,3,8,positive,SPECIALIZE
nói riêng m?i ng??i coi có b? m? không sao mình coi nó l?i b? m? v?y ?,,,,,neutral,OTHER
nam nay k có yuno chung k?t wa tiec,4,4,0,8,positive,SPECIALIZE
ông thái ?ng ráp mà nghe không hi?u gì luôn á r?i sau ?ó,0,1,5,8,negative,SPECIALIZE
th?y rider ráp flow không ??c s?c c?,1,2,3,6,negative,SPECIALIZE
ch? c?u mong 7 n? mùa 8 ??ng thi?u v?ng lan ng?c lên,3,6,7,11,positive,APPEARANCE
thái vg chu?n 0 c?n ch?nh . luôn nh? v?y nha em tình c?m l?m,0,1,12,13,positive,OTHER
thái vg chu?n 0 c?n ch?nh . luôn nh? v?y nha em tình c?m l?m,0,1,2,5,positive,OTHER
thái vg chu?n 0 c?n ch?nh . luôn nh? v?y nha em tình c?m l?m,0,1,7,11,positive,OTHER
thái vg chu?n 0 c?n ch?nh . luôn nh? v?y nha em tình c?m l?m,0,1,12,14,positive,CHARACTERISTIC
thái vg chu?n 0 c?n ch?nh . luôn nh? v?y nha em tình c?m l?m,0,1,2,5,positive,OTHER
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3,12,12,13,15,negative,SPECIALIZE
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3,7,7,0,10,positive,SPECIALIZE
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3,12,12,0,15,positive,SPECIALIZE
?i?u khi?n t shock h?n c? vi?c 24k là á quân là hch out top 3,7,7,9,10,positive,SPECIALIZE
l? trao gi?i nhìn karik mà th??ng th?t s? tin t?c cho,4,4,,,negative,OTHER
nói riêng lê d??ng b?o lâm ch?i c?c quá,2,5,6,8,negative,CHARACTERISTIC
dàn ekip c?t l?c r?t ??c bi?t nh?t,0,1,2,4,positive,TECHNICAL
"t mê anh thái quá , anh th? thôi c?ng hay n?a tr?i ?i lên phía là",2,3,0,13,positive,OTHER
tez hay nh?t thích hlv bigdady nh?t,4,5,3,6,positive,OTHER
tez hay nh?t thích hlv bigdady nh?t,0,0,1,2,positive,OTHER
mùa 7 thích nh?t t?p có song luân vui quá tr?i,0,1,2,10,positive,APPEARANCE
ch??ng trình ni mà không có ngân ch?c h?t vui,,,0,9,positive,APPEARANCE
team bray hay tuy?t v?i . sang tr?ng và cu?n hút,0,1,6,10,positive,SPECIALIZE
team bray hay tuy?t v?i . sang tr?ng và cu?n hút,0,1,2,4,positive,SPECIALIZE
m?nh d?ng ?oán 24k right quán quân nh?ng và c?ng,3,4,0,7,neutral,OTHER
tui ngh? m?i h? quang hi?u l?i ch??ng trình ?i v?i th? thách v??t qua v? giác ?n chanh l?i hay á,,,11,21,positive,SPECIALIZE
tui ngh? m?i h? quang hi?u l?i ch??ng trình ?i v?i th? thách v??t qua v? giác ?n chanh l?i hay á,,,2,9,positive,APPEARANCE
"m?t ch??ng trình ??ng c?p , c?m ?n ráp vi?t qua là",8,9,0,4,positive,SPECIALIZE
"karik làm sao v?y , lúc trao gi?i c? k? k?",0,0,9,10,negative,APPEARANCE
team anh big hài thi?t . thích intro anh big nh?t luôn,7,9,6,11,positive,SPECIALIZE
team anh big hài thi?t . thích intro anh big nh?t luôn,0,2,3,4,positive,SPECIALIZE
gi?i th??ng ?k x?p x?p h?t r?i trong khi ?ó,0,1,2,6,negative,SPECIALIZE
"nghe di nghe lai thich ghe , có te nó khác b?t h?n , thêm team producer n?a",8,8,10,12,positive,SPECIALIZE
"nghe ?i nghe l?i , ng??i mi?n núi ch?t v?n hay nh?t",5,8,0,11,positive,SPECIALIZE
có ai nh? mình không không có b?t v?i tr?ng không vui cho m?y d??i phía,,,5,11,neutral,TECHNICAL
aa thích bài c?a team bray quá,2,5,1,1,positive,OTHER
tôi thích nh?t b?n tôi à lôi r?i,3,6,0,2,positive,SPECIALIZE
ch??ng trình l?n mà c?m cái t? gi?y bèo nhèo lên sân kh?u v?y tr?i bên trong,0,2,3,14,negative,SPECIALIZE
h?i ti?c cho 24k nh?ng 2t c?ng x?ng ?áng n?i b? là,5,5,7,8,positive,OTHER
h?i ti?c cho 24k nh?ng 2t c?ng x?ng ?áng n?i b? là,3,3,0,1,negative,OTHER
